INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
42,0,0,0,39,0,10,35081,No,202839,Yes,M,Bachelors,z_Blue Collar,38,Commercial,16640,4,Van,yes,0,0,No,0,13,Highly Urban/ Urban
43,0,0,0,56,0,0,0,No,63827,Yes,z_F,PhD,Home Maker,65,Private,13220,1,Minivan,no,0,0,No,0,12,z_Highly Rural/ Rural
44,0,0,0,49,0,12,115044,No,311980,z_No,z_F,PhD,Doctor,18,Private,17900,1,Minivan,no,0,0,No,0,14,Highly Urban/ Urban
45,0,0,0,38,0,11,37754,No,138823,Yes,z_F,z_High School,Clerical,47,Private,12080,1,z_SUV,no,0,0,No,2,9,z_Highly Rural/ Rural
46,0,0,0,43,2,17,145353,No,418785,Yes,z_F,Masters,,38,Commercial,29450,6,Van,no,0,0,No,0,15,Highly Urban/ Urban
48,0,0,0,63,0,15,121398,No,343410,Yes,z_F,PhD,Doctor,10,Private,16270,1,z_SUV,no,0,0,No,0,11,Highly Urban/ Urban
49,0,0,0,52,0,0,0,No,87925,z_No,z_F,z_High School,Student,48,Commercial,9280,1,z_SUV,no,0,0,No,1,6,z_Highly Rural/ Rural
50,0,0,0,35,0,7,14508,No,0,Yes,M,Bachelors,Student,22,Commercial,6450,1,Pickup,no,0,0,No,0,7,Highly Urban/ Urban
51,0,0,0,43,0,13,75338,No,270555,Yes,z_F,Bachelors,Manager,40,Private,23080,1,Sports Car,no,0,0,No,0,8,Highly Urban/ Urban
52,0,0,0,41,0,10,32774,No,0,z_No,z_F,z_High School,Clerical,44,Private,20120,4,Minivan,no,0,0,No,0,1,z_Highly Rural/ Rural
53,0,0,0,40,0,11,57474,No,186418,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,0,0,No,1,5,Highly Urban/ Urban
54,0,0,0,31,1,12,26520,No,154493,Yes,M,Bachelors,Student,62,Commercial,4600,6,Minivan,yes,0,0,No,2,5,Highly Urban/ Urban
55,0,0,0,47,0,8,18444,No,0,Yes,z_F,z_High School,Student,35,Commercial,19450,6,z_SUV,no,2981,2,No,5,,Highly Urban/ Urban
56,0,0,0,53,0,,107259,No,343700,Yes,M,Masters,Professional,36,Private,29230,10,Minivan,yes,0,0,No,0,15,Highly Urban/ Urban
57,0,0,0,39,3,7,34046,No,183383,Yes,z_F,z_High School,Clerical,33,Private,4040,6,z_SUV,no,0,0,No,0,5,z_Highly Rural/ Rural
58,0,0,0,33,3,14,32364,No,152894,Yes,M,<High School,Clerical,40,Private,12270,18,Minivan,yes,0,0,No,3,1,Highly Urban/ Urban
59,0,0,0,59,0,5,106775,No,,z_No,M,Masters,Lawyer,10,Private,31930,1,Minivan,yes,0,0,No,0,,Highly Urban/ Urban
61,1,6100,0,40,0,11,16989,No,0,z_No,M,<High School,z_Blue Collar,20,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6,Highly Urban/ Urban
65,1,8840.683568,0,44,2,15,16352,No,134164,Yes,z_F,z_High School,Home Maker,37,Private,10520,1,z_SUV,no,7838,1,No,1,1,Highly Urban/ Urban
66,0,0,0,56,0,16,44760,No,164852,Yes,M,Bachelors,Manager,30,Private,21770,13,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban
67,1,2117,1,45,1,14,63952,No,196368,Yes,z_F,Masters,Lawyer,50,Private,32340,6,Van,no,27877,2,Yes,0,13,Highly Urban/ Urban
69,0,0,0,48,0,,,No,252896,Yes,M,Bachelors,Professional,14,Commercial,28560,13,Panel Truck,yes,1554,5,No,1,10,Highly Urban/ Urban
70,1,3532,1,44,2,,24060,Yes,0,z_No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,no,0,0,No,0,10,Highly Urban/ Urban
71,1,866,0,33,4,12,20822,No,76022,Yes,z_F,z_High School,Home Maker,46,Private,6880,13,z_SUV,no,7896,3,No,0,1,Highly Urban/ Urban
72,0,0,0,32,3,14,54968,No,146784,Yes,z_F,z_High School,Professional,20,Private,10040,4,z_SUV,no,0,0,Yes,0,8,Highly Urban/ Urban
73,1,7786,0,34,0,8,14194,No,87034,z_No,z_F,<High School,Clerical,13,Private,2920,4,Sports Car,no,24767,3,Yes,2,10,Highly Urban/ Urban
74,0,0,1,38,4,12,2149,No,72889,Yes,z_F,<High School,Home Maker,35,Private,22690,10,Pickup,no,0,0,No,2,1,Highly Urban/ Urban
77,1,4148,2,43,3,11,137103,Yes,0,z_No,z_F,Masters,Manager,29,Private,19510,1,Sports Car,no,8890,3,No,0,15,Highly Urban/ Urban
78,0,0,0,49,0,9,,No,0,z_No,M,PhD,,31,Commercial,33710,3,Panel Truck,no,34351,2,Yes,2,18,Highly Urban/ Urban
79,0,0,0,46,0,10,79538,No,0,z_No,z_F,Bachelors,Manager,13,Private,14050,3,Minivan,no,0,0,Yes,2,11,Highly Urban/ Urban
80,0,0,0,45,1,11,185836,No,509115,Yes,z_F,PhD,Lawyer,28,Private,10250,1,z_SUV,no,4307,3,No,6,20,Highly Urban/ Urban
81,0,0,0,46,0,14,,No,397661,z_No,M,Masters,,22,Commercial,33320,4,Panel Truck,yes,0,0,Yes,1,12,Highly Urban/ Urban
82,0,0,0,45,0,11,61931,No,213530,Yes,M,Masters,,30,Commercial,10910,13,Pickup,yes,25106,2,No,0,,Highly Urban/ Urban
84,0,0,0,63,0,9,74426,No,0,z_No,z_F,PhD,Doctor,11,Private,27600,1,z_SUV,no,0,0,No,0,18,Highly Urban/ Urban
85,0,0,0,44,0,9,74722,No,231034,Yes,z_F,Bachelors,Professional,9,Private,23640,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
86,1,2371,1,45,2,11,102393,Yes,0,z_No,M,Bachelors,Professional,25,Private,1500,1,Minivan,yes,0,0,No,2,11,Highly Urban/ Urban
88,0,0,0,48,0,0,0,No,98920,Yes,z_F,z_High School,Home Maker,50,Private,8660,3,Sports Car,no,8363,2,No,3,,Highly Urban/ Urban
89,1,4804,1,37,2,12,,No,205211,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,5200,1,z_SUV,no,2718,1,No,1,3,Highly Urban/ Urban
90,0,0,0,35,0,,29371,No,0,z_No,z_F,<High School,Clerical,49,Private,4860,10,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban
91,1,1354,0,48,0,12,31773,No,165090,Yes,M,z_High School,Clerical,14,Commercial,9640,13,Pickup,no,1212,1,No,4,1,Highly Urban/ Urban
93,0,0,0,49,0,0,0,No,159389,Yes,z_F,Masters,Professional,42,Private,6400,10,z_SUV,no,9115,1,No,6,14,Highly Urban/ Urban
94,0,0,0,44,2,15,139330,Yes,316900,z_No,z_F,z_High School,z_Blue Collar,35,Commercial,22050,10,Sports Car,no,0,0,No,0,1,z_Highly Rural/ Rural
95,0,0,0,50,0,13,163296,No,447616,z_No,z_F,PhD,Lawyer,42,Private,22830,1,Minivan,no,0,0,No,0,14,z_Highly Rural/ Rural
96,0,0,0,30,1,10,17455,Yes,140978,z_No,z_F,<High School,z_Blue Collar,50,Private,12380,13,Minivan,no,0,0,No,0,6,z_Highly Rural/ Rural
97,0,0,0,54,0,,71007,No,240833,Yes,M,Bachelors,Manager,61,Private,14000,6,Minivan,no,0,0,No,0,11,Highly Urban/ Urban
99,1,2425,0,53,0,6,38036,No,153381,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,13140,1,z_SUV,no,0,0,No,4,1,Highly Urban/ Urban
100,0,0,0,53,0,13,41199,No,150933,z_No,z_F,Bachelors,Manager,21,Private,15360,1,z_SUV,no,0,0,No,0,8,Highly Urban/ Urban
101,0,0,0,29,1,10,38042,Yes,202967,z_No,M,z_High School,Professional,15,Private,15160,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
102,0,0,0,58,0,11,91223,No,0,z_No,M,Masters,Lawyer,23,Private,10620,6,Pickup,no,0,0,No,0,,Highly Urban/ Urban
103,0,0,0,55,0,7,45787,No,173196,Yes,z_F,Masters,Lawyer,5,Private,19380,6,Minivan,no,0,0,No,0,13,Highly Urban/ Urban
104,0,0,0,55,0,,84964,No,227091,Yes,M,Bachelors,z_Blue Collar,21,Commercial,5760,1,Pickup,yes,969,2,No,6,11,Highly Urban/ Urban
105,0,0,0,56,0,8,38240,No,190675,Yes,z_F,z_High School,Clerical,28,Private,16220,4,z_SUV,no,0,0,No,0,,z_Highly Rural/ Rural
108,0,0,0,34,0,11,51565,No,0,z_No,M,Masters,Lawyer,36,Private,18110,1,Van,yes,759,2,No,3,15,Highly Urban/ Urban
109,1,5711,0,34,3,0,0,No,66358,Yes,z_F,z_High School,Home Maker,25,Private,11740,9,z_SUV,no,1800,2,No,2,1,Highly Urban/ Urban
110,0,0,0,36,0,11,105384,No,267509,Yes,M,Masters,Professional,24,Private,13800,7,Minivan,yes,31695,3,Yes,4,17,Highly Urban/ Urban
111,1,13105.32763,0,41,0,10,66265,No,159276,Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,yes,0,0,No,1,9,Highly Urban/ Urban
112,1,4061,0,46,0,7,,No,,z_No,M,Masters,,17,Commercial,23350,13,Panel Truck,yes,4678,3,No,6,17,Highly Urban/ Urban
114,0,0,0,42,0,9,76226,No,217920,Yes,M,Bachelors,z_Blue Collar,18,Commercial,23390,13,Panel Truck,yes,0,0,No,0,14,Highly Urban/ Urban
115,0,0,1,38,3,16,7528,No,113809,Yes,M,<High School,Clerical,26,Private,8080,1,Pickup,yes,0,0,No,0,8,z_Highly Rural/ Rural
116,1,7838,0,33,4,0,0,Yes,0,z_No,M,z_High School,Student,14,Commercial,15090,1,Minivan,yes,1631,1,No,2,5,Highly Urban/ Urban
117,1,3660,0,37,0,0,,No,73890,Yes,z_F,Bachelors,Student,48,Commercial,12850,7,z_SUV,no,0,0,No,3,6,Highly Urban/ Urban
118,0,0,1,42,1,9,32797,No,160661,Yes,z_F,Masters,Lawyer,63,Private,21690,1,Minivan,no,0,0,No,2,14,Highly Urban/ Urban
119,1,5125,0,47,0,11,44705,No,217885,Yes,z_F,Bachelors,Professional,50,Private,12840,1,z_SUV,no,1533,2,No,0,10,Highly Urban/ Urban
121,0,0,0,52,0,9,68992,No,216986,z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,15120,1,Minivan,no,0,0,No,3,10,z_Highly Rural/ Rural
122,0,0,0,43,0,11,132561,No,314433,z_No,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,no,12294,1,No,0,1,Highly Urban/ Urban
124,0,0,0,66,1,17,96830,No,325826,Yes,M,Masters,Professional,23,Private,11180,7,z_SUV,no,0,0,No,0,16,Highly Urban/ Urban
127,1,2143,0,52,0,7,64014,No,244863,Yes,M,<High School,z_Blue Collar,33,Commercial,7900,4,Pickup,yes,8882,3,No,1,5,Highly Urban/ Urban
130,0,0,1,38,1,7,,No,0,Yes,z_F,z_High School,Student,40,Private,7050,4,Sports Car,no,0,0,No,0,10,z_Highly Rural/ Rural
132,0,0,0,47,0,14,,No,276241,Yes,M,Bachelors,Manager,48,Private,21320,1,Van,yes,0,0,No,0,13,Highly Urban/ Urban
133,0,0,0,37,0,12,123520,No,383731,Yes,M,Bachelors,z_Blue Collar,14,Commercial,17550,1,Van,no,0,0,No,0,,Highly Urban/ Urban
134,0,0,0,47,0,13,45257,No,160051,Yes,M,Bachelors,Clerical,33,Commercial,29210,6,Panel Truck,yes,0,0,No,0,,Highly Urban/ Urban
136,0,0,1,61,2,17,41857,No,169015,Yes,z_F,Masters,Manager,35,Private,20870,1,Sports Car,no,0,0,No,0,21,Highly Urban/ Urban
137,1,2114,0,41,1,8,126468,Yes,0,z_No,z_F,Masters,Manager,34,Commercial,32690,3,Pickup,no,0,0,No,2,18,Highly Urban/ Urban
138,0,0,3,40,3,9,75516,No,247673,Yes,z_F,z_High School,z_Blue Collar,53,Commercial,13050,5,Sports Car,no,0,0,Yes,0,6,z_Highly Rural/ Rural
139,0,0,0,52,0,16,76954,No,249290,z_No,M,Bachelors,Professional,44,Private,19540,6,Minivan,yes,0,0,Yes,0,11,Highly Urban/ Urban
140,0,0,0,58,1,8,150352,No,421665,Yes,z_F,Masters,Manager,21,Private,24240,6,Pickup,no,0,0,No,0,17,Highly Urban/ Urban
142,1,8671,1,38,1,12,37580,No,173495,Yes,z_F,<High School,Clerical,36,Private,5260,7,z_SUV,no,867,2,No,0,1,Highly Urban/ Urban
143,1,6287,0,41,2,15,23344,No,147172,Yes,M,z_High School,z_Blue Collar,10,Private,7930,1,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
144,0,0,0,37,0,16,43290,No,158771,Yes,z_F,Bachelors,z_Blue Collar,29,Private,23640,1,z_SUV,no,0,0,No,0,10,Highly Urban/ Urban
145,0,0,0,48,0,10,48737,No,220264,Yes,M,Bachelors,Manager,24,Private,11220,9,Pickup,yes,0,0,No,1,1,Highly Urban/ Urban
146,0,0,0,47,0,12,64259,No,202031,Yes,M,z_High School,Clerical,26,Private,25100,18,Minivan,no,9526,4,No,3,9,Highly Urban/ Urban
149,0,0,0,41,0,6,12541,No,0,z_No,M,<High School,Clerical,5,Private,7500,1,Minivan,yes,0,0,No,0,1,z_Highly Rural/ Rural
150,0,0,0,47,0,12,104271,No,265153,Yes,M,Masters,,40,Commercial,36120,4,Panel Truck,yes,0,0,No,0,11,Highly Urban/ Urban
152,0,0,0,44,1,,67278,No,220556,Yes,z_F,Masters,Lawyer,49,Private,20210,1,Minivan,no,0,0,No,0,16,z_Highly Rural/ Rural
153,0,0,0,46,0,10,104990,No,306540,z_No,z_F,Bachelors,Professional,40,Private,16080,13,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban
154,0,0,0,49,0,6,89948,No,0,z_No,z_F,Bachelors,Professional,37,Private,18160,7,z_SUV,no,0,0,No,4,9,Highly Urban/ Urban
155,0,0,0,33,1,12,111427,No,321483,Yes,z_F,Masters,,35,Commercial,28180,1,Van,no,0,0,No,3,4,Highly Urban/ Urban
158,1,1807,1,43,2,11,76159,Yes,0,z_No,z_F,Bachelors,Professional,52,Private,19750,4,z_SUV,no,0,0,Yes,0,,Highly Urban/ Urban
159,0,0,0,62,0,6,107734,No,0,z_No,z_F,PhD,Lawyer,54,Private,18470,3,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban
160,1,10593.94663,0,42,0,0,0,No,,z_No,M,<High School,Student,47,Commercial,5700,11,Pickup,yes,0,0,No,5,1,Highly Urban/ Urban
161,0,0,0,36,2,12,25282,Yes,0,z_No,z_F,z_High School,Clerical,38,Private,11160,1,z_SUV,no,0,0,No,0,1,z_Highly Rural/ Rural
162,0,0,0,47,0,11,18549,No,116136,Yes,M,Masters,Lawyer,24,Private,12800,7,Minivan,no,0,0,No,0,14,Highly Urban/ Urban
163,0,0,0,50,0,14,,No,147191,Yes,M,z_High School,Clerical,11,Commercial,17300,13,Van,yes,0,0,No,0,7,Highly Urban/ Urban
164,0,0,0,51,0,9,50166,No,187297,z_No,M,z_High School,z_Blue Collar,32,Commercial,11620,1,Pickup,no,50701,3,Yes,0,1,Highly Urban/ Urban
165,0,0,0,46,0,8,73872,No,245878,Yes,z_F,Masters,Lawyer,43,Private,20240,4,Sports Car,no,0,0,No,0,16,z_Highly Rural/ Rural
166,0,0,0,50,0,14,73343,No,254600,Yes,z_F,z_High School,Manager,60,Private,20010,1,Minivan,no,4179,2,No,4,8,Highly Urban/ Urban
167,1,6158,0,43,2,15,49849,Yes,0,z_No,z_F,Masters,Lawyer,35,Private,13130,1,z_SUV,no,3622,3,No,4,20,Highly Urban/ Urban
168,1,4887,1,39,1,16,12054,No,0,Yes,z_F,<High School,Student,28,Commercial,15760,4,Pickup,no,1738,2,Yes,4,1,Highly Urban/ Urban
169,0,0,0,43,3,14,48184,No,209188,Yes,z_F,z_High School,z_Blue Collar,50,Commercial,14530,12,Sports Car,no,6891,2,No,5,1,Highly Urban/ Urban
170,1,5147,0,60,3,18,78936,No,235670,Yes,z_F,Masters,Lawyer,40,Private,20350,6,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban
171,0,0,0,55,0,0,0,No,0,z_No,M,<High School,Student,33,Private,7000,4,Pickup,no,0,0,No,0,1,z_Highly Rural/ Rural
172,0,0,0,40,0,10,78914,No,229055,z_No,z_F,Bachelors,Manager,36,Private,5500,10,z_SUV,no,6803,2,No,6,10,Highly Urban/ Urban
173,0,0,0,39,0,6,77125,No,210840,Yes,z_F,Bachelors,Clerical,49,Private,9570,7,Sports Car,no,0,0,No,1,13,Highly Urban/ Urban
175,0,0,0,38,0,14,25835,No,109685,Yes,M,z_High School,Clerical,29,Private,8490,6,Pickup,yes,0,0,No,1,12,Highly Urban/ Urban
176,0,0,0,42,0,12,47660,No,180206,Yes,M,Masters,Professional,31,Private,11940,7,Pickup,yes,974,2,No,6,18,Highly Urban/ Urban
177,0,0,0,42,0,10,123143,No,306368,z_No,z_F,Masters,Manager,16,Private,24930,4,Minivan,no,0,0,No,3,14,Highly Urban/ Urban
178,0,0,0,49,0,8,22059,No,123924,Yes,z_F,<High School,Clerical,24,Commercial,21990,11,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
179,0,0,1,36,1,12,50750,Yes,0,z_No,z_F,Masters,Manager,26,Private,10170,7,z_SUV,no,5877,3,No,7,14,Highly Urban/ Urban
180,0,0,0,34,1,10,23571,Yes,0,z_No,M,z_High School,Clerical,35,Commercial,12180,7,Pickup,yes,0,0,No,0,7,Highly Urban/ Urban
181,0,0,0,49,0,0,0,No,79913,Yes,z_F,PhD,Home Maker,29,Private,18110,7,z_SUV,no,0,0,No,1,1,Highly Urban/ Urban
182,0,0,0,52,0,12,35631,No,155972,Yes,M,z_High School,Clerical,39,Private,6040,10,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
183,0,0,0,50,0,11,129234,No,0,z_No,M,PhD,Doctor,37,Private,21200,4,Van,yes,0,0,No,0,,Highly Urban/ Urban
184,0,0,0,53,0,12,,No,0,z_No,z_F,<High School,Clerical,16,Private,11650,10,z_SUV,no,6175,1,No,2,7,Highly Urban/ Urban
185,0,0,0,55,0,14,55409,No,162237,Yes,M,Bachelors,z_Blue Collar,45,Commercial,27890,4,Panel Truck,no,0,0,No,0,14,z_Highly Rural/ Rural
187,0,0,0,40,4,15,48067,Yes,186025,z_No,z_F,Bachelors,Clerical,21,Private,18120,8,Minivan,no,0,0,No,0,8,Highly Urban/ Urban
188,0,0,0,45,2,12,64867,No,210631,Yes,z_F,Masters,Lawyer,21,Private,12490,1,z_SUV,no,0,0,No,0,10,Highly Urban/ Urban
189,0,0,0,80,2,23,97716,No,389344,Yes,M,Bachelors,Professional,14,Private,15920,13,Minivan,yes,0,0,No,2,10,Highly Urban/ Urban
190,0,0,0,48,0,10,39613,No,159534,Yes,M,z_High School,z_Blue Collar,48,Commercial,8460,10,Pickup,yes,7437,2,No,6,1,Highly Urban/ Urban
191,0,0,0,37,0,11,,No,,z_No,M,z_High School,Student,69,Private,14130,1,Minivan,yes,0,0,No,1,,z_Highly Rural/ Rural
192,0,0,0,40,0,11,49780,No,0,z_No,z_F,<High School,Clerical,52,Private,10500,6,Sports Car,no,0,0,No,0,1,z_Highly Rural/ Rural
194,0,0,0,45,0,11,60845,No,0,z_No,z_F,Bachelors,Manager,31,Private,24260,4,Minivan,no,0,0,No,0,18,Highly Urban/ Urban
196,1,6087,0,42,0,12,136344,No,0,z_No,z_F,PhD,Doctor,45,Private,13160,1,Sports Car,no,0,0,No,0,17,Highly Urban/ Urban
197,0,0,0,36,0,7,70313,No,211506,Yes,z_F,Bachelors,Professional,55,Private,14960,6,Minivan,no,7650,3,No,5,4,Highly Urban/ Urban
198,0,0,0,45,3,15,23773,Yes,0,z_No,z_F,z_High School,Home Maker,9,Commercial,34510,7,Van,no,0,0,No,0,1,z_Highly Rural/ Rural
199,0,0,0,52,0,11,115713,No,327167,z_No,z_F,Bachelors,Professional,28,Private,21660,6,Sports Car,no,0,0,No,0,11,z_Highly Rural/ Rural
200,0,0,0,41,0,8,55364,No,0,z_No,M,z_High School,Clerical,17,Commercial,31390,1,Panel Truck,yes,0,0,No,3,1,z_Highly Rural/ Rural
201,0,0,0,36,0,14,27693,No,130324,Yes,z_F,<High School,Clerical,37,Private,11300,10,Sports Car,no,19385,1,No,4,7,Highly Urban/ Urban
202,0,0,0,56,0,0,0,No,103058,Yes,z_F,Bachelors,Home Maker,29,Private,27890,13,z_SUV,no,25147,2,No,0,9,Highly Urban/ Urban
203,0,0,1,53,1,0,0,No,0,Yes,z_F,<High School,Student,34,Private,1500,10,Sports Car,no,1175,3,No,2,7,z_Highly Rural/ Rural
204,1,3894,0,39,0,12,32936,No,169721,z_No,z_F,z_High School,Clerical,12,Private,1500,6,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban
205,0,0,0,38,0,11,33151,No,184852,Yes,z_F,Bachelors,Professional,31,Private,11530,13,z_SUV,no,0,0,No,0,9,z_Highly Rural/ Rural
206,1,2659,1,45,3,0,0,Yes,0,z_No,M,z_High School,Home Maker,36,Private,16510,4,Minivan,no,17445,3,Yes,0,1,Highly Urban/ Urban
207,0,0,0,46,0,14,24575,No,176282,Yes,z_F,z_High School,Home Maker,73,Private,8560,10,Sports Car,no,0,0,No,0,9,z_Highly Rural/ Rural
208,0,0,0,43,2,16,32546,No,200891,Yes,M,<High School,Clerical,49,Private,5800,10,Minivan,yes,0,0,No,1,5,Highly Urban/ Urban
209,0,0,1,54,1,0,0,Yes,0,z_No,z_F,Bachelors,Home Maker,21,Private,18820,6,z_SUV,no,5537,1,No,6,9,Highly Urban/ Urban
210,0,0,0,55,0,16,163158,No,431809,Yes,M,Masters,,44,Commercial,23320,10,Panel Truck,no,0,0,No,3,19,Highly Urban/ Urban
211,0,0,0,61,0,10,58212,No,226638,Yes,z_F,<High School,z_Blue Collar,37,Private,13420,1,Sports Car,no,3573,3,No,3,1,z_Highly Rural/ Rural
