pair_id,order,interest_corr,samerace,match,calls_from_female,calls_from_male,calls_to_female,calls_to_male,female_dec,male_dec,female_id,f_rate_m_attr,f_rate_m_sinc,f_rate_m_intel,f_rate_m_fun,f_rate_m_amb,f_rate_m_shar,f_rate_m_like,f_rate_m_prob,f_rate_m_met_before,f_est_matches,f_age,f_field,f_field_num,f_race,f_imp_race,f_imp_relig,f_goal,f_dat_freq,f_out_freq,f_career,f_career_num,f_like_sports,f_like_tvsports,f_like_exercise,f_like_dining,f_like_museums,f_like_art,f_like_hiking,f_like_gaming,f_like_clubbing,f_like_reading,f_like_tv,f_like_theater,f_like_movies,f_like_concerts,f_like_music,f_like_shopping,f_like_yoga,f_exp_happy,f_pref_attr,f_pref_sinc,f_pref_intel,f_pref_fun,f_pref_amb,f_pref_shar,f_genderpref_attr,f_genderpref_sinc,f_genderpref_intel,f_genderpref_fun,f_genderpref_amb,f_genderpref_shar,f_oppgender_pref_attr,f_oppgender_pref_sinc,f_oppgender_pref_intel,f_oppgender_pref_fun,f_oppgender_pref_amb,f_oppgender_pref_shar,f_rate_self_attr,f_rate_self_sinc,f_rate_self_fun,f_rate_self_intel,f_rate_self_amb,f_avg_attr,f_avg_sinc,f_avg_fun,f_avg_intel,f_avg_amb,f_avg_like,male_id,m_rate_f_attr,m_rate_f_sinc,m_rate_f_intel,m_rate_f_fun,m_rate_f_amb,m_rate_f_shar,m_rate_f_like,m_rate_f_prob,m_rate_f_met_before,m_est_matches,m_age,m_field,m_field_num,m_race,m_imp_race,m_imp_relig,m_goal,m_dat_freq,m_out_freq,m_career,m_career_num,m_like_sports,m_like_tvsports,m_like_exercise,m_like_dining,m_like_museums,m_like_art,m_like_hiking,m_like_gaming,m_like_clubbing,m_like_reading,m_like_tv,m_like_theater,m_like_movies,m_like_concerts,m_like_music,m_like_shopping,m_like_yoga,m_exp_happy,m_pref_attr,m_pref_sinc,m_pref_intel,m_pref_fun,m_pref_amb,m_pref_shar,m_gender_pref_attr,m_gender_pref_sinc,m_gender_pref_intel,m_gender_pref_fun,m_gender_pref_amb,m_gender_pref_shar,m_opp_gender_pref_attr,m_opp_gender_pref_sinc,m_opp_gender_pref_intel,m_opp_gender_pref_fun,m_opp_gender_pref_amb,m_opp_gender_pref_shar,m_rate_self_attr,m_rate_self_sinc,m_rate_self_fun,m_rate_self_intel,m_rate_self_amb,m_avg_attr,m_avg_sinc,m_avg_fun,m_avg_intel,m_avg_amb,m_avg_like
6--14,6,0.12,0,1,,1, ,1,1,1,6,8,6,7,8,2,8,9,4,2,4,23,law,1,4,1,1,1,3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,5,7,8,9,5,6.8,7.8,8.6,7,8,6.8,14,6,8,8,7,9,8,7,7,2,,23,Law,1,2,1,1,2,4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,9,9,9,9,9,8.2,7.6,7.4,7.6,6.6,7.7
7--14,3,-0.46,0,1,,1, ,1,1,1,7,7,8,8,7,7,6,8,6,1,2,22,Law,1,4,2,4,1,5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,6,6,5,7,7,7.9,7.6,8.2,7,7.5,7.6,14,8,8,9,8,9,9,8,7,1,,23,Law,1,2,1,1,2,4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,9,9,9,9,9,8.2,7.6,7.4,7.6,6.6,7.7
8--14,8,-0.4,1,1,,1, ,1,1,1,8,8,6,5,6,6,5,5,6,2,,25,Masters in Public Administration,13,2,1,1,1,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,14,8,8,8,8,8,7,8,7,2,,23,Law,1,2,1,1,2,4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,9,9,9,9,9,8.2,7.6,7.4,7.6,6.6,7.7
9--14,9,-0.26,0,1,,1, ,1,1,1,9,10,9,8,8,7,7,7,5,2,1,26,Masters in Public Administration,13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,14,7,8,7,8,8,7,7,7,2,,23,Law,1,2,1,1,2,4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,9,9,9,9,9,8.2,7.6,7.4,7.6,6.6,7.7
1--15,7,0.21,0,1,1,3,1,0,1,1,1,5,6,7,7,6,6,6,6,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7,6.7,7.4,8,7.2,8,6.85,15,8,7,9,6,9,7,8,6,2,,24,Law,1,3,3,1,1,4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,7,7,7,9,9,5.7,7.6,7.7,7.2,6.5,6.3
8--15,10,-0.23,0,1,,3, ,0,1,1,8,6,8,8,5,6,7,6,5,2,,25,Masters in Public Administration,13,2,1,1,1,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,15,9,9,8,9,,7,9,7,2,,24,Law,1,3,3,1,1,4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,7,7,7,9,9,5.7,7.6,7.7,7.2,6.5,6.3
9--15,1,-0.01,0,1,,3, ,0,1,1,9,5,10,8,8,5,5,5,5,2,1,26,Masters in Public Administration,13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,15,7,9,8,9,7,7,7,8,2,,24,Law,1,3,3,1,1,4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,7,7,7,9,9,5.7,7.6,7.7,7.2,6.5,6.3
8--16,9,0.28,1,1,,0, ,0,1,1,8,6,8,8,5,6,7,6,5,2,,25,Masters in Public Administration,13,2,1,1,1,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,16,8,7,7,7,8,7,7,6,2,3,25,Business,8,2,9,2,1,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,6,6,8,8,6,5.6,8.4,7.6,4.4,6,5.6
9--16,10,0.42,0,1,,0, ,0,1,1,9,8,9,9,7,6,5,6,5,2,1,26,Masters in Public Administration,13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,16,6,6,7,8,7,7,6,5,2,3,25,Business,8,2,9,2,1,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,6,6,8,8,6,5.6,8.4,7.6,4.4,6,5.6
9--17,5,0.21,0,1,,1, ,1,1,1,9,6,8,9,6,6,6,7,5,2,1,26,Masters in Public Administration,13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,17,8,6,7,8,6,5,8,4,2,1,30,political science,13,2,1,1,3,3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,7,7,6,8,4,6.7,7.6,8.5,6.1,6.7,6.9
8--18,5,0.17,1,1,,1, ,0,1,1,8,5,6,7,4,5,6,5,4,2,,25,Masters in Public Administration,13,2,1,1,1,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,18,9,8,8,8,7,5,7,5,2,2,27,Business,8,2,8,8,1,6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,6,8,6,8,9,5.1,7.4,7.7,5.2,7.5,5.8
1--19,8,0.28,0,1,1,,1, ,1,1,1,7,6,8,9,8,8,7,7,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7,6.7,7.4,8,7.2,8,6.85,19,7,7,8,8,8,9,6.5,8,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
2--19,4,0.11,1,1,0,,0, ,1,1,2,7,6,8,9,4,5,5,6,2,3,24,law,1,2,2,5,1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,7,5,10,8,3,7.7,7.1,7.9,7.5,7.5,7.6,19,8,6,9,9,8,7,8,8,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
4--19,7,-0.47,1,1,0,,0, ,1,1,4,9,8,10,10,7,8,8,8,2,2,23,Law,1,2,1,1,1,5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,7,8,9,7,8,7,7.1,7.7,7.5,7.7,7.3,19,7,7,7,10,9,10,8,8,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
5--19,5,-0.13,1,1,0,,0, ,1,1,5,7,5,7,8,7,9,9,4,2,,21,Law,1,2,8,1,2,4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,6,3,6,10,8,5.3,7.7,7.6,7.2,7.8,6.1,19,5,9,9,9,9,6,7,7,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
6--19,9,0.46,0,1,,, , ,1,1,6,7,6,8,8,6,9,9,6,2,4,23,law,1,4,1,1,1,3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,5,7,8,9,5,6.8,7.8,8.6,7,8,6.8,19,6,7,7,6,6,6,6,6,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
7--19,6,-0.34,0,1,,, , ,1,1,7,6,6,8,8,8,6,6,6,2,2,22,Law,1,4,2,4,1,5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,6,6,5,7,7,7.9,7.6,8.2,7,7.5,7.6,19,9,7,9,9,9,10,9,9,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
8--19,1,-0.47,1,1,,, , ,1,1,8,8,8,5,9,8,9,7,10,2,,25,Masters in Public Administration,13,2,1,1,1,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,19,8,7,8,10,8,10,8,8,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
9--19,2,-0.35,0,1,,, , ,1,1,9,8,5,5,6,5,5,7,6,2,1,26,Masters in Public Administration,13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,19,6,6,6,7,6,6,6,6,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
10--19,3,0.49,1,1,,, , ,1,1,10,9,9,9,9,9,9,9,9,2,,26,Masters of Social Work&Education,13,2,4,4,2,6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,6,8,10,6,9,6.333333333,7,6.4,6.4,6.2,6,19,7,7,7,7,6,6,7,8,2,,28,money,8,2,1,1,4,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,10,6,10,10,10,7.7,6.8,7.7,8.5,7.1,7.6
8--20,2,-0.21,1,1,,, , ,1,1,8,7,6,8,7,9,8,8,7,2,,25,Masters in Public Administration,13,2,1,1,1,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,20,8,10,9,9,8,8,8,8,2,1,24,Finance,8,2,1,1,1,1,1,CEO,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,7,7,10,10,10,7.5,7.3,7.9,8.2,8.4,8.3
23--43,10,-0.35,0,1,0,0,0,0,1,1,23,5,7,8,6,6,7,7,6,2,3,21,Psychology,3,4,9,6,1,1,1,psychologist,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,5,8,6,7,8,5.9375,7.266666667,6.9375,6.25,6.4,5.8125,43,4,6,5,4,3,2,6,4,1,0,24,Economics,8,2,1,1,6,6,3,Academic,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,3,25,35,30,10,0,0,,,,,,,20,25,20,20,5,10,3,8,3,7,2,4.277777778,6.388888889,7.055555556,4.666666667,6.470588235,4.944444444
22--44,1,-0.21,0,1,0,1,0,0,1,1,22,6,8,8,7,7,6,6,6,2,2,27,TC (Health Ed),9,1,1,2,1,6,2,Informatics,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,7,8,7,8,7,4.8,6.625,6.5,5.5,6.071428571,5.0625,44,6,7,6,6,8,5,6,5,2,3,24,Psychology,3,2,3,3,1,3,1,academia,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,7,20.83333333,12.5,20.83333333,20.83333333,12.5,12.5,,,,,,,50,5,15,20,5,5,7,9,8,9,9,4.944444444,6.666666667,6.777777778,4.647058824,5.944444444,5.166666667
23--44,14,-0.17,0,1,0,1,0,0,1,1,23,7,7,7,6,6,9,9,10,1,3,21,Psychology,3,4,9,6,1,1,1,psychologist,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,5,8,6,7,8,5.9375,7.266666667,6.9375,6.25,6.4,5.8125,44,8,8,8,10,7,8,8,8,1,3,24,Psychology,3,2,3,3,1,3,1,academia,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,7,20.83333333,12.5,20.83333333,20.83333333,12.5,12.5,,,,,,,50,5,15,20,5,5,7,9,8,9,9,4.944444444,6.666666667,6.777777778,4.647058824,5.944444444,5.166666667
