"","pair_id","order","interest_corr","samerace","match","calls_from_female","calls_from_male","calls_to_female","calls_to_male","female_dec","male_dec","female_id","f_rate_m_attr","f_rate_m_sinc","f_rate_m_intel","f_rate_m_fun","f_rate_m_amb","f_rate_m_shar","f_rate_m_like","f_rate_m_prob","f_rate_m_met_before","f_est_matches","f_age","f_field","f_field_num","f_race","f_imp_race","f_imp_relig","f_goal","f_dat_freq","f_out_freq","f_career","f_career_num","f_like_sports","f_like_tvsports","f_like_exercise","f_like_dining","f_like_museums","f_like_art","f_like_hiking","f_like_gaming","f_like_clubbing","f_like_reading","f_like_tv","f_like_theater","f_like_movies","f_like_concerts","f_like_music","f_like_shopping","f_like_yoga","f_exp_happy","f_pref_attr","f_pref_sinc","f_pref_intel","f_pref_fun","f_pref_amb","f_pref_shar","f_genderpref_attr","f_genderpref_sinc","f_genderpref_intel","f_genderpref_fun","f_genderpref_amb","f_genderpref_shar","f_oppgender_pref_attr","f_oppgender_pref_sinc","f_oppgender_pref_intel","f_oppgender_pref_fun","f_oppgender_pref_amb","f_oppgender_pref_shar","f_rate_self_attr","f_rate_self_sinc","f_rate_self_fun","f_rate_self_intel","f_rate_self_amb","f_avg_attr","f_avg_sinc","f_avg_fun","f_avg_intel","f_avg_amb","f_avg_like","male_id","m_rate_f_attr","m_rate_f_sinc","m_rate_f_intel","m_rate_f_fun","m_rate_f_amb","m_rate_f_shar","m_rate_f_like","m_rate_f_prob","m_rate_f_met_before","m_est_matches","m_age","m_field","m_field_num","m_race","m_imp_race","m_imp_relig","m_goal","m_dat_freq","m_out_freq","m_career","m_career_num","m_like_sports","m_like_tvsports","m_like_exercise","m_like_dining","m_like_museums","m_like_art","m_like_hiking","m_like_gaming","m_like_clubbing","m_like_reading","m_like_tv","m_like_theater","m_like_movies","m_like_concerts","m_like_music","m_like_shopping","m_like_yoga","m_exp_happy","m_pref_attr","m_pref_sinc","m_pref_intel","m_pref_fun","m_pref_amb","m_pref_shar","m_gender_pref_attr","m_gender_pref_sinc","m_gender_pref_intel","m_gender_pref_fun","m_gender_pref_amb","m_gender_pref_shar","m_opp_gender_pref_attr","m_opp_gender_pref_sinc","m_opp_gender_pref_intel","m_opp_gender_pref_fun","m_opp_gender_pref_amb","m_opp_gender_pref_shar","m_rate_self_attr","m_rate_self_sinc","m_rate_self_fun","m_rate_self_intel","m_rate_self_amb","m_avg_attr","m_avg_sinc","m_avg_fun","m_avg_intel","m_avg_amb","m_avg_like","PCAVector1","PCAVector2"
"13","3--12",5,-0.14,1,0,NA,NA,NA,NA,0,0,3,9,7,9,8,9,7,8,7,2,NA,25,"Economics",2,2,8,4,6,3,1,"Economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,6.5,7.1,7.3,6.2,7.111111111,6,12,6,7,10,6,6,5,7,3,2,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.09079024219585,0.217988291869994
"14","4--12",2,-0.18,1,0,0,NA,0,NA,0,0,4,8,7,8,10,7,8,8,1,1,2,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,7,7.1,7.7,7.5,7.7,7.3,12,6,5,10,6,6,5,6,3,1,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.20550755549351,-1.57235038534995
"15","5--12",10,0,1,0,0,NA,0,NA,0,0,5,8,6,6,5,5,5,6,4,1,NA,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,5.3,7.7,7.6,7.2,7.8,6.1,12,6,7,10,7,6,5,7,4,1,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.0769680623747,0.0824915748411541
"16","6--12",4,0.37,0,0,NA,NA,NA,NA,1,0,6,6,9,9,6,8,2,7,6,2,4,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,6.8,7.8,8.6,7,8,6.8,12,6,8,10,6,7,6,7,4,2,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.18720323383361,-1.37970048211161
"17","7--12",1,0.21,0,0,NA,NA,NA,NA,0,1,7,6,6,8,4,9,4,7,3,1,2,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,NA,NA,NA,NA,NA,NA,30,12,13,25,10,10,6,6,5,7,7,7.9,7.6,8.2,7,7.5,7.6,12,7,9,10,6,6,5,8,4,1,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.26061402850696,-2.176396844657
"18","8--12",6,-0.11,1,1,NA,NA,NA,NA,1,1,8,8,7,7,9,6,7,8,7,2,NA,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,NA,NA,NA,NA,NA,NA,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,12,8,8,10,7,6,5,9,4,2,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.30681813919514,-2.82629055718664
"19","9--12",7,0.03,0,1,NA,NA,NA,NA,1,1,9,10,10,10,10,10,10,10,5,2,1,26,"Masters in Public Administration",13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,NA,NA,NA,NA,NA,NA,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,12,8,8,10,7,6,5,8,4,2,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.20217623556187,-1.38737215293202
"20","10--12",8,0.65,1,0,NA,NA,NA,NA,0,0,10,1,1,1,1,1,NA,1,1,1,NA,26,"Masters of Social Work&Education",13,2,4,4,2,6,1,"To create early childhood intervention programs",9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,NA,NA,NA,NA,NA,NA,45,10,15,20,5,5,6,8,10,6,9,6.333333333,7,6.4,6.4,6.2,6,12,1,1,1,1,1,1,1,1,2,3,22,"Law",1,2,1,1,1,1,1,"Corporate Lawyer",1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,7.1,6.6,7.1,6.7,6.9,6.9,1.06851172731255,0.708769460137534
"21","1--13",10,0.16,1,1,1,NA,1,NA,1,1,1,5,8,9,8,5,7,7,NA,1,4,21,"Law",1,4,2,4,2,7,1,"lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,6.7,7.4,8,7.2,8,6.85,13,10,10,10,10,10,10,10,10,1,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.226532300322667,-1.40858544836411
"22","2--13",6,0.1,0,0,0,NA,0,NA,0,1,2,5,8,9,6,3,4,6,7,2,3,24,"law",1,2,2,5,1,5,1,"law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,7.7,7.1,7.9,7.5,7.5,7.6,13,10,10,10,10,10,10,10,10,2,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.30187259694295,-2.30365576074366
"23","3--13",2,0.09,0,0,NA,NA,NA,NA,0,1,3,7,9,9,7,9,7,8,7,2,NA,25,"Economics",2,2,8,4,6,3,1,"Economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,6.5,7.1,7.3,6.2,7.111111111,6,13,10,10,10,10,10,10,10,10,2,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.140129509328219,0.0477328130743519
"24","4--13",9,0.05,0,0,0,NA,0,NA,0,1,4,4,7,8,8,6,7,4,1,2,2,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,7,7.1,7.7,7.5,7.7,7.3,13,10,10,10,10,10,10,10,10,NA,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.254846822625882,-1.7426058641456
"25","5--13",7,-0.17,0,0,0,NA,0,NA,0,1,5,4,6,8,8,6,5,6,5,1,NA,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,5.3,7.7,7.6,7.2,7.8,6.1,13,10,10,10,10,10,10,10,10,1,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.126307329507068,-0.0877639039544883
"26","6--13",1,-0.51,1,0,NA,NA,NA,NA,0,1,6,4,7,9,4,3,2,6,2,1,4,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,6.8,7.8,8.6,7,8,6.8,13,10,10,10,10,10,10,10,10,1,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.236542500965982,-1.54995596090725
"27","7--13",8,0.52,1,0,NA,NA,NA,NA,0,1,7,3,6,8,7,8,8,7,8,1,2,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,NA,NA,NA,NA,NA,NA,30,12,13,25,10,10,6,6,5,7,7,7.9,7.6,8.2,7,7.5,7.6,13,10,10,10,10,10,10,10,10,NA,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.309953295639326,-2.34665232345264
"28","8--13",3,0.42,0,1,NA,NA,NA,NA,1,1,8,5,8,8,6,7,7,5,5,2,NA,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,NA,NA,NA,NA,NA,NA,30,10,20,30,5,5,7,4,8,8,8,8.2,7.8,8.1,7.9,7.444444444,7.7,13,10,10,10,10,10,10,10,10,2,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.356157406327512,-2.99654603598228
"29","9--13",4,0.68,0,1,NA,NA,NA,NA,1,1,9,5,10,10,6,6,6,8,5,2,1,26,"Masters in Public Administration",13,6,1,1,1,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,NA,NA,NA,NA,NA,NA,30,20,10,20,10,10,7,6,10,7,7,7,7.4,7.5,7.8,6.9,7.1,13,10,10,10,10,10,10,10,10,2,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.251515502694237,-1.55762763172766
"30","10--13",5,-0.15,0,1,NA,NA,NA,NA,1,1,10,6,10,10,10,6,NA,7,6,2,NA,26,"Masters of Social Work&Education",13,2,4,4,2,6,1,"To create early childhood intervention programs",9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,NA,NA,NA,NA,NA,NA,45,10,15,20,5,5,6,8,10,6,9,6.333333333,7,6.4,6.4,6.2,6,13,10,10,10,10,10,10,10,10,2,NA,22,"Law",1,4,3,5,2,7,1,"Lawyer",1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,NA,NA,NA,NA,NA,NA,20,16,16,18,16,14,4,7,8,8,3,4.8,7.9,8.8,7,5.9,6.4,0.117850994444919,0.538513981341892
