customerID,gender,PhoneSubscriber,MoreThenOneLine,InternetServiceSubscriber,OnlineSecuritySubscriber,OnlineBackupSubscriber,DeviceProtectionSubscriber,TechSupportSubscriber,StreamingTVSubscriber,StreamingMoviesSubscriber,ContractLength,UsesPaperlessBilling,MethodOfPayment,MonthsACustomer,Senior,HasPartner,HasDependents,MonthlyPayments,TotalPayments
1820-DJFPH,Female,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),72,0,Yes,Yes,24.05,1709.15
2379-ENZGV,Male,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,6,0,No,No,84.85,523.5
7296-PIXQY,Female,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,14,0,Yes,Yes,70.2,1046.5
0668-OGMHD,Female,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,21,0,Yes,No,28.5,629.35
7083-YNSKY,Female,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),15,0,No,No,25.4,399.6
7841-TZDMQ,Male,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2,0,No,No,46,84.5
8092-NLTGF,Male,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),72,0,No,No,24.75,1777.6
5196-WPYOW,Male,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,67,0,Yes,Yes,60.05,3994.05
8198-RKSZG,Female,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),14,0,Yes,Yes,80.45,1137.05
7789-CRUVC,Female,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),61,1,Yes,No,94.2,5895.45
9620-ENEJV,Female,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),6,0,No,No,70.55,433.95
0774-IFUVM,Male,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),11,0,Yes,Yes,65.15,723.35
7108-DGVUU,Female,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),21,1,Yes,No,71.7,1497.05
9867-JCZSP,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,17,0,Yes,Yes,20.75,418.25
9734-YWGEX,Female,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),9,0,No,No,98.3,923.5
1814-DKOLC,Female,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5,0,No,No,25.45,134.75
0356-ERHVT,Male,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),11,0,Yes,No,45.9,521.9
1139-WUOAH,Male,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),57,0,No,No,53.35,3090.05
2215-ZAFGX,Male,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,9,0,No,No,85.5,791.7
8757-TFHHJ,Male,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0,No,No,49.8,49.8
8974-OVACP,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0,No,No,20.15,20.15
6467-CHFZW,Male,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,0,Yes,Yes,99.35,4749.15
6918-UMQCG,Female,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,5,0,No,No,80.2,384.25
7629-WFGLW,Female,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,56,1,Yes,No,95.65,5471.75
4329-YPDDQ,Male,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),20,0,No,No,108.2,2203.7
6158-DWPZT,Male,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),9,0,Yes,No,24.1,259.8
1905-OEILC,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0,No,No,19.5,19.5
1852-QSWCD,Male,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,64,0,Yes,Yes,24.8,1514.85
5313-FPXWG,Male,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),51,0,No,No,24.6,1266.4
3440-JPSCL,Female,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,6,0,No,No,99.95,547.65
4211-MMAZN,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0,No,No,20.25,20.25
7298-IZWLY,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1,0,No,No,19.4,19.4
9350-VLHMB,Male,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67,0,Yes,Yes,89.55,6373.1
1254-IZEYF,Female,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,31,1,No,No,99.95,3186.65
3985-HOYPM,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26,0,No,No,19.4,525.55
7765-LWVVH,Female,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,72,0,Yes,Yes,95.1,6843.15
3927-NLNRY,Male,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53,0,Yes,No,94.25,4867.95
0754-UKWQP,Male,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2,0,No,No,95.85,197.7
6997-UVGOX,Male,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),71,0,Yes,Yes,85.45,6029.9
6196-HBOBZ,Male,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,65,0,Yes,No,99.35,6347.55
1355-KUSBG,Female,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,7,0,Yes,Yes,48.8,349.8
5543-QDCRY,Male,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,4,0,No,No,56.4,234.85
3429-IFLEM,Female,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),71,0,No,No,77.35,5550.1
4685-ERGHK,Male,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,57,0,No,No,86.9,4939.25
9286-DOJGF,Female,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),38,1,Yes,No,74.95,2869.85
0362-ZBZWJ,Male,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,36,0,No,No,84.9,3067.2
8773-HHUOZ,Female,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,17,0,No,Yes,64.7,1093.1
5954-BDFSG,Female,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,0,No,No,107.5,7853.7
5044-LRQAQ,Female,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,0,Yes,No,69.2,477.55
5692-FPTAH,Female,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,0,No,No,45.4,45.4
9677-AVKED,Female,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,53,0,No,Yes,84.6,4449.75
3646-ITDGM,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),56,0,No,No,19.7,1051.9
9837-FWLCH,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,12,0,Yes,Yes,19.2,239
7472-EQOAV,Male,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),71,1,Yes,Yes,86.7,6179.35
3808-HFKDE,Female,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20,0,No,No,44.35,927.15
6233-HXJMX,Female,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),45,0,No,No,89.3,4192.15
7321-ZNSLA,Male,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,13,0,Yes,Yes,40.55,590.35
5414-OFQCB,Male,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),57,0,No,No,90.45,5229.8
4911-BANWH,Female,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),31,0,No,Yes,86.55,2697.4
0829-DDVLK,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),15,0,No,No,20.1,302.45
5201-USSQZ,Female,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),26,0,Yes,No,85.9,2196.45
0824-VWDPO,Female,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),45,0,No,No,96.75,4442.75
7797-EJMDP,Female,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),8,0,No,No,66.05,574.5
9424-CMPOG,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,9,0,Yes,Yes,19.6,197.4
4090-KPJIP,Female,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,0,No,No,74.95,212.4
3489-HHPFY,Female,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2,0,Yes,No,84.05,134.05
8086-OVPWV,Male,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2,0,No,No,80.2,181.1
1360-JYXKQ,Female,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,54,1,Yes,No,99.1,5437.1
2656-FMOKZ,Female,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,15,1,No,No,74.45,1145.7
4815-GBTCD,Female,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,4,0,Yes,No,25.15,99.95
9494-MRNYX,Male,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,10,0,No,No,75.05,786.3
8627-EHGIP,Male,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,44,0,No,No,53.95,2375.4
1397-XKKWR,Male,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,7,0,No,No,35.3,264.8
9185-TQCVP,Male,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,14,0,Yes,No,85.15,1139.2
1226-IENZN,Male,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,16,1,No,No,78.75,1218.25
7973-DZRKH,Female,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),66,0,No,Yes,90.95,5930.05
3716-LRGXK,Male,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),60,0,Yes,No,101.15,6067.4
1063-DHQJF,Male,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,69,0,Yes,Yes,92.15,6480.9
2150-OEGBV,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27,0,No,No,20.1,562.6
8741-LQOBK,Female,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),46,0,Yes,Yes,35.05,1620.25
6352-TWCAU,Female,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35,0,No,No,86.45,3029.1
5222-IMUKT,Male,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,32,0,No,No,91.05,2871.5
4351-QLCSU,Female,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1,0,No,No,55,55
8017-UVSZU,Female,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),40,0,Yes,No,56.6,2379.1
0048-LUMLS,Male,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),37,0,Yes,Yes,91.2,3247.55
5077-DXTCG,Female,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,No,No,45.3,45.3
8044-BGWPI,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,12,0,Yes,Yes,21.15,306.05
8069-RHUXK,Female,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),67,0,Yes,Yes,35.7,2545.7
1722-LDZJS,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),53,0,Yes,Yes,20.2,1068.15
8181-YHCMF,Female,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),68,0,Yes,Yes,60.3,4109
7337-CINUD,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),8,0,Yes,Yes,19.5,159.35
0307-BCOPK,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,16,0,No,No,19.05,326.65
2673-ZALNP,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,7,0,No,No,19.9,173.15
6861-OKBCE,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),11,0,No,Yes,20.1,221.35
3722-WPXTK,Male,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0,No,No,88.35,88.35
9443-JUBUO,Male,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,0,Yes,Yes,65.25,4478.85
0225-ZORZP,Male,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,3,0,No,No,84.3,235.05
5876-QMYLD,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23,0,Yes,Yes,20.05,415.1
7114-AEOZE,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),60,0,No,No,19.85,1128.1
6038-GCYEC,Female,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),24,0,No,No,54.15,1240.25
8735-SDUFN,Female,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),72,1,Yes,No,24.3,1778.7
5913-INRQV,Male,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,34,1,Yes,No,90.15,3128.8
1024-KPRBB,Female,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,38,0,No,No,89.1,3342
3239-TPHPZ,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,12,0,Yes,No,20.05,264.55
6339-YPSAH,Male,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,9,0,No,No,73.8,704.3
2439-QKJUL,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5,0,No,No,20.25,109.8
1352-HNSAW,Female,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,0,Yes,Yes,115.6,8220.4
3486-HOOGQ,Female,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),70,0,Yes,Yes,79.7,5743.3
2123-AGEEN,Female,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,7,1,No,No,84.35,609.65
1862-QRWPE,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),48,0,Yes,Yes,20.65,1057
4627-MIHJH,Female,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),69,1,No,No,110.25,7467.55
9351-HXDMR,Male,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,0,Yes,No,110.9,8240.85
6874-SGLHU,Male,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),30,0,No,No,97,3021.3
8104-OSKWT,Female,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12,0,No,No,79.8,1001.2
2585-KTFRE,Male,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0,No,Yes,70.45,70.45
4664-NJCMS,Female,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),33,0,Yes,No,59.55,2016.3
3393-FMZPV,Female,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25,0,No,No,100.25,2387.75
5393-RXQSZ,Male,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,0,No,No,79.6,79.6
7938-OUHIO,Male,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3,0,No,No,98.7,293.65
3569-VLDHH,Male,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,66,0,Yes,Yes,75.1,5013
0784-GTUUK,Male,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),62,0,Yes,No,23.75,1446.8
3565-UNOCC,Female,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29,1,Yes,No,99.05,2952.85
8259-NFJTV,Female,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,7,0,Yes,Yes,34.65,246.6
2279-AXJJK,Male,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),52,0,Yes,No,95.65,5088.4
0868-VJRDR,Male,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64,0,Yes,No,104.05,6605.55
0859-YGKFW,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18,0,Yes,Yes,20.05,345.9
8413-VONUO,Male,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,2,0,No,No,95.65,167.3
2045-BMBTJ,Female,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),33,1,No,No,59.45,1884.65
4940-KHCWD,Female,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),60,0,Yes,No,37.7,2288.7
