total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number,loan_purpose,loan_repaid
3500,1.07,2523,5374,1,33200,21,5,4,Yes
2300,1.07,6667,3728,0,0,59,4,1,Yes
3400,1.07,1735,3569,0,0,64,8,5,No
2600,1.07,1430,2149,1,22700,28,8,4,No
4200,1.07,1929,1652,1,22100,40,8,1,No
4900,1.07,1062,1678,1,23700,42,1,4,No
2900,1.07,1245,1065,1,31600,67,3,4,No
3000,1.07,937,2081,1,24300,59,2,5,No
2200,1.07,2948,1156,1,42400,40,0,2,Yes
3400,1.07,975,253,1,25400,41,6,2,No
3300,1.07,1168,2400,0,0,40,2,4,No
7900,1.07,2205,1007,0,0,47,1,5,Yes
5700,1.06,551,2872,0,0,23,4,1,No
7400,1.06,1320,1167,0,0,45,6,3,No
6400,1.06,1122,2364,1,12000,72,3,2,No
2800,1.06,1049,2372,0,0,50,8,3,No
4700,1.06,5667,3754,1,42500,41,6,4,Yes
2000,1.06,849,3714,1,26400,72,1,1,No
4200,1.06,3052,2721,1,43500,33,1,3,Yes
3500,1.06,1208,1063,1,40800,40,3,3,No
3300,1.06,609,2217,1,19700,24,4,5,No
3000,1.06,209,2917,0,0,53,5,5,No
1500,1.06,871,3046,1,27100,34,3,4,No
8200,1.06,701,7225,1,20200,68,2,4,Yes
7100,1.06,3479,3423,1,37900,38,7,4,Yes
3900,1.06,245,2233,0,0,50,1,3,No
2100,1.06,1102,1431,0,0,34,8,2,No
700,1.06,369,2412,0,0,25,8,4,No
1100,1.06,1653,1150,0,0,32,3,1,No
3600,1.06,777,2774,0,0,59,3,3,No
4300,1.06,1076,1535,1,22100,39,6,3,No
3200,1.06,2489,3875,1,41300,22,8,3,Yes
7500,1.06,1154,2066,0,0,39,8,5,No
8000,1.06,684,2796,1,14400,41,8,1,No
4000,1.06,692,2774,0,0,30,1,2,No
2900,1.06,3754,5256,1,33000,28,3,4,Yes
3900,1.06,2149,7545,1,36900,42,1,5,Yes
2100,1.06,481,876,0,0,67,3,5,No
1200,1.06,1755,2056,0,0,37,8,5,No
3000,1.06,2049,9293,1,23100,43,1,2,Yes
5400,1.06,3298,5060,1,52600,33,4,5,Yes
2600,1.06,547,2298,0,0,28,0,3,No
8100,1.06,1015,2889,1,32700,42,8,4,Yes
7400,1.06,3392,5709,1,32600,44,8,2,Yes
2900,1.06,1306,2878,1,28600,46,4,1,No
2800,1.06,4390,5497,1,39200,35,3,4,Yes
2300,1.06,838,1885,1,25000,39,3,5,No
1800,1.06,1478,1468,0,0,34,1,5,No
4900,1.05,411,268,0,0,48,4,2,No
2500,1.05,338,3111,0,0,71,3,1,No
3100,1.05,705,2312,1,12200,36,1,3,No
3100,1.05,958,2214,0,0,24,3,1,No
3700,1.05,1019,1391,0,0,54,1,2,No
2500,1.05,1162,1697,0,0,24,4,4,No
4100,1.05,1903,3268,0,0,59,5,5,No
3600,1.05,918,2552,0,0,48,1,2,No
5300,1.05,917,1605,1,23400,48,8,4,No
3600,1.05,933,2129,1,30800,37,2,1,No
5500,1.05,390,73,0,0,29,5,4,No
5600,1.05,1052,2749,0,0,59,6,5,No
3500,1.05,670,3014,1,12200,36,8,1,No
5800,1.05,1040,187,0,0,43,8,2,No
5500,1.05,1226,20,0,0,44,4,1,No
1000,1.05,1592,3909,1,19000,30,1,2,No
4600,1.05,1209,3229,0,0,31,1,5,No
2500,1.05,1618,1217,1,27000,37,3,2,No
2600,1.05,975,726,1,47800,35,2,3,Yes
2200,1.05,629,1780,0,0,42,2,5,No
1700,1.05,1476,1542,0,0,37,8,5,No
2500,1.05,5856,6860,1,39400,45,8,4,Yes
4700,1.05,473,2439,1,32800,24,7,1,No
5600,1.05,4386,3476,1,14400,40,2,5,Yes
1000,1.05,551,1809,0,0,52,8,4,No
4300,1.05,992,1371,0,0,60,2,2,No
5600,1.05,1378,760,0,0,52,2,3,No
5300,1.05,1284,1460,0,0,28,2,3,No
8600,1.05,1621,6269,1,35100,34,8,1,Yes
2700,1.05,714,382,0,0,22,8,3,No
3300,1.05,1957,1576,1,19100,42,3,2,No
2400,1.05,2323,5097,0,0,39,3,1,No
2800,1.05,681,2954,1,22700,48,2,1,No
5100,1.05,1627,4657,1,50000,41,2,5,Yes
8200,1.05,571,5702,1,73700,32,5,4,Yes
2900,1.05,3454,5187,1,33700,30,0,5,Yes
3200,1.05,515,2760,1,7900,44,1,3,No
4300,1.05,1331,1881,1,14900,43,6,5,No
3200,1.05,4785,4938,1,35800,45,7,4,Yes
3400,1.05,577,8910,1,39700,48,0,3,Yes
4400,1.05,1395,2011,0,0,44,8,2,No
3500,1.05,556,1797,0,0,18,8,5,No
2900,1.05,1616,1375,0,0,43,8,4,No
5700,1.05,6754,8081,1,57700,35,8,3,Yes
1700,1.05,552,659,0,0,34,5,5,No
1500,1.05,1243,1184,1,18800,39,8,5,No
3600,1.05,1255,1739,0,0,35,6,2,No
4300,1.04,663,1860,1,25100,32,2,3,No
1400,1.04,890,3608,0,0,44,2,5,No
4900,1.04,882,2384,0,0,18,8,2,No
4700,1.04,600,1812,1,29300,55,2,3,No
6400,1.04,722,1997,0,0,40,2,5,No
3500,1.04,1584,2214,0,0,37,8,3,No
2300,1.04,229,1444,0,0,58,6,5,No
3400,1.04,1171,2447,0,0,52,4,2,No
2700,1.04,2092,2059,1,45800,23,1,4,No
5300,1.04,1150,1061,0,0,56,8,2,No
3500,1.04,994,1673,0,0,45,2,2,No
6600,1.04,500,3002,0,0,35,8,2,No
5500,1.04,2507,4681,0,0,40,1,4,Yes
4700,1.04,1312,2109,1,22700,56,8,5,No
1100,1.04,1649,3465,1,29900,18,4,1,No
1900,1.04,619,2729,0,0,54,8,3,No
9300,1.04,5637,580,1,25600,64,8,3,Yes
3100,1.04,615,2928,0,0,39,4,3,No
1900,1.04,4483,4092,0,0,39,3,5,Yes
4300,1.04,736,2723,1,20600,54,2,3,No
4000,1.04,6557,2054,0,0,48,6,3,Yes
3600,1.04,175,1111,1,18000,54,1,5,No
5300,1.04,7446,2914,1,44500,42,3,5,Yes
4200,1.04,1084,2807,1,18500,32,8,2,No
1800,1.04,1709,1556,1,30500,34,7,5,No
3500,1.04,1116,363,0,0,58,1,1,No
7900,1.04,623,3226,1,15700,55,1,1,Yes
2700,1.04,564,1346,1,10800,34,2,3,Yes
4500,1.04,1144,2221,1,30500,22,2,5,No
5500,1.04,2272,4747,1,59400,50,8,2,Yes
2400,1.04,802,1928,0,0,28,7,3,No
4900,1.04,1547,2957,1,25400,73,8,3,No
7300,1.04,1203,2854,1,57200,20,1,3,Yes
5000,1.04,1343,2174,1,17900,30,4,4,No
2200,1.04,168,2978,0,0,58,2,3,No
4900,1.04,335,2918,1,26900,31,1,1,Yes
1100,1.04,1093,1795,0,0,45,8,5,No
6000,1.04,3024,4107,1,31500,48,1,1,Yes
5900,1.04,616,3280,1,12000,36,1,2,No
4700,1.03,1178,6906,0,0,29,0,3,Yes
6800,1.03,2572,3263,1,16700,51,1,5,Yes
2600,1.03,3217,8247,1,41400,19,2,3,Yes
3500,1.03,739,2200,1,13700,39,4,5,No
3500,1.03,1563,2812,0,0,40,5,2,No
2900,1.03,4800,6748,1,32800,36,1,4,Yes
3100,1.03,632,2813,0,0,30,8,5,No
5000,1.03,1023,2210,0,0,55,2,5,No
8000,1.03,2175,7267,1,57400,40,8,3,Yes
1900,1.03,1323,1242,1,23700,28,8,5,No
5000,1.03,1771,2683,0,0,49,4,5,No
5100,1.03,1485,2052,0,0,47,2,1,No
1900,1.03,1430,3359,1,11500,60,5,5,No
4200,1.03,635,1728,1,19100,41,8,3,No
5800,1.03,395,3381,0,0,56,8,2,Yes
7300,1.03,793,1973,1,22900,18,8,2,No
4100,1.03,1216,1682,0,0,53,2,5,No
4200,1.03,2541,6248,1,73600,20,8,3,Yes
2200,1.03,677,1503,1,26500,52,5,2,No
5300,1.03,1524,5362,1,24800,19,1,2,Yes
6100,1.03,1749,1395,1,100,39,4,1,Yes
5000,1.03,1228,1799,1,17200,39,2,1,No
3800,1.03,1902,2729,0,0,38,5,2,No
1400,1.03,641,2026,0,0,59,2,5,No
3300,1.03,554,1775,1,28300,36,2,4,No
3200,1.03,1579,476,0,0,23,4,1,No
3900,1.03,1507,4055,1,10100,30,4,3,Yes
2900,1.03,1049,3288,0,0,27,1,5,No
6800,1.03,2135,970,1,18900,58,5,1,No
2000,1.03,1288,2705,1,33300,45,8,3,No
2300,1.03,802,2494,0,0,33,2,4,No
2600,1.03,4320,3516,1,55500,39,1,2,Yes
7300,1.02,1511,4552,1,17500,57,2,5,Yes
3400,1.02,694,1378,1,19300,19,1,1,No
1800,1.02,414,2729,1,25600,57,5,2,No
3100,1.02,2711,173,0,0,33,1,1,Yes
4400,1.02,3889,8893,1,27000,52,1,1,Yes
4100,1.02,648,3568,1,17300,53,8,3,No
5100,1.02,1173,5211,1,20000,41,6,3,Yes
700,1.02,260,1786,1,23600,34,3,2,No
6400,1.02,2422,6178,1,56100,55,3,3,Yes
2200,1.02,1053,2129,0,0,42,3,4,No
600,1.02,1126,2525,1,31500,55,1,3,No
6000,1.02,1229,2108,0,0,26,1,3,No
6900,1.02,2809,3288,1,34100,40,8,1,Yes
6600,1.02,3654,4807,1,6800,32,7,1,Yes
4500,1.02,944,1414,1,35300,51,8,3,No
3900,1.02,922,3110,1,29300,40,8,1,No
7700,1.02,2928,6398,1,23200,43,8,4,Yes
6200,1.02,1172,3178,1,15900,44,8,4,No
2600,1.02,663,3832,0,0,31,2,3,No
2900,1.02,905,1392,0,0,50,2,4,No
7200,1.02,1076,1609,0,0,70,2,2,No
8300,1.02,4392,2268,1,17400,33,2,5,Yes
2800,1.02,614,1425,1,18600,61,5,5,No
4200,1.02,775,2051,0,0,32,1,3,No
4500,1.02,1437,2507,0,0,63,1,3,No
2200,1.02,1538,2065,0,0,31,3,3,No
4500,1.02,247,2721,0,0,21,1,2,No
7000,1.02,599,3671,0,0,52,3,2,No
2600,1.02,2744,4567,1,69000,33,6,3,Yes
3100,1.02,1398,2122,0,0,45,4,4,No
4700,1.02,2204,2840,1,31800,56,2,3,Yes
3500,1.02,684,2081,0,0,61,5,3,No
3700,1.02,501,2217,0,0,38,4,4,No
4100,1.02,843,1504,0,0,54,2,1,No
4600,1.02,2358,4656,1,5300,18,2,3,Yes
6600,1.02,1312,1896,0,0,24,6,2,No
6400,1.02,3217,1595,1,17500,63,5,3,Yes
1600,1.02,551,1059,0,0,41,8,3,No
3600,1.02,824,2195,0,0,37,8,2,No
800,1.02,588,114,0,0,75,5,1,No
3300,1.02,643,1678,1,20200,21,0,5,No
3000,1.01,922,1479,0,0,33,8,1,No
2000,1.01,923,3499,0,0,30,8,3,No
6200,1.01,2541,7888,1,46400,33,6,4,Yes
2700,1.01,1381,1984,1,25100,26,5,1,No
8300,1.01,2869,3177,1,33000,33,0,2,Yes
3600,1.01,714,1970,1,38800,35,8,4,Yes
5300,1.01,943,3788,0,0,55,2,4,No
4000,1.01,1143,2568,1,33500,33,8,5,No
2100,1.01,294,3979,1,22700,49,7,2,No
3300,1.01,806,3066,0,0,34,5,5,No
3700,1.01,1861,4309,1,33300,67,1,3,Yes
1300,1.01,1552,811,1,26400,37,3,5,No
4900,1.01,3814,1572,0,0,34,1,3,Yes
2400,1.01,423,2236,0,0,62,6,2,No
5100,1.01,754,4022,0,0,34,1,3,Yes
1600,1.01,791,2799,0,0,35,3,5,No
6000,1.01,751,2342,0,0,53,2,1,No
2000,1.01,381,872,1,17500,40,5,2,No
800,1.01,732,3254,0,0,34,2,2,No
2600,1.01,280,1742,0,0,55,8,2,No
2100,1.01,1510,3315,1,23300,47,2,2,No
7000,1.01,5380,5063,1,69500,58,3,2,Yes
4500,1.01,364,1988,1,27300,51,6,2,No
2000,1.01,216,930,0,0,46,1,1,No
3100,1.01,282,3013,1,40500,30,3,1,No
8500,1.01,3207,4785,1,58700,43,8,5,Yes
4900,1.01,4731,1726,1,23500,42,8,2,Yes
5800,1.01,397,3486,0,0,43,4,3,Yes
5800,1.01,2849,5861,1,39800,40,8,4,Yes
4000,1.01,1435,2247,1,27700,48,0,2,No
3000,1.01,1128,1342,1,22300,42,8,1,No
4800,1.01,256,1970,0,0,27,3,2,No
4800,1.01,6207,2379,0,0,62,8,3,Yes
3500,1.01,1231,1938,0,0,23,4,2,No
7900,1.01,1657,6404,1,47800,42,7,1,Yes
7300,1.01,2549,1553,1,46400,51,2,3,Yes
3500,1.01,1719,1734,0,0,58,3,1,No
5800,1.01,1685,2492,0,0,28,8,3,No
2800,1.01,1575,216,0,0,37,8,3,No
2200,1.01,1239,1722,0,0,41,2,4,No
600,1.01,1421,807,1,27100,35,2,4,No
5700,1.01,595,1414,0,0,41,7,2,No
5500,1.01,4659,5270,1,46200,42,2,4,Yes
2400,1.01,672,2203,0,0,65,6,4,No
3200,1.01,914,1449,0,0,37,1,5,No
5200,1.01,4431,4589,1,29900,24,1,4,Yes
5000,1.01,1402,2635,0,0,42,4,1,No
6500,1.01,2906,6975,1,44200,36,2,1,Yes
8000,1.01,545,3716,1,52600,41,2,4,Yes
4200,1.01,801,2437,1,26300,60,2,1,Yes
6100,1.01,3127,9836,1,37900,43,4,3,Yes
2500,1.01,1688,2663,0,0,50,2,3,No
3600,1.01,805,2219,0,0,40,3,1,No
4400,1.01,1114,3774,1,11300,49,1,1,No
6700,1.01,1336,1265,0,0,38,5,2,No
6000,1.01,3141,4012,1,11200,42,6,1,Yes
6600,1.01,4185,4100,1,29300,26,2,4,Yes
6700,1.01,321,5912,1,48500,40,3,4,Yes
6100,1.01,3316,3297,1,37700,23,2,1,Yes
6400,1.01,686,6859,1,14100,65,6,4,Yes
8000,1.01,2558,558,0,0,46,2,1,Yes
4400,1,3295,3810,0,0,19,2,5,Yes
1800,1,185,2353,1,21900,37,3,3,No
4300,1,1808,922,1,43100,39,3,1,Yes
8200,1,1007,3216,1,21700,28,7,4,No
6400,1,2457,6743,1,20400,53,3,5,Yes
2700,1,1252,3525,1,43400,34,8,4,No
3700,1,976,2444,1,17500,38,2,1,No
7800,1,213,3265,1,33700,37,2,1,Yes
4600,1,1589,3370,1,20900,37,8,1,No
2600,1,1357,6459,1,40700,42,2,3,Yes
3700,1,3292,844,1,40300,44,2,3,Yes
3600,1,692,2329,1,28100,43,8,1,No
2700,1,2198,1715,1,30600,33,4,1,Yes
5200,1,780,232,0,0,45,7,4,No
2500,1,2673,4532,1,43000,43,1,1,Yes
4300,1,1113,1172,1,20900,42,8,3,No
3500,1,3405,8018,1,19500,45,5,1,Yes
2700,1,481,647,1,19400,30,2,3,No
7100,1,4641,2773,1,21200,32,5,2,Yes
5600,1,3068,6758,1,44300,34,1,3,Yes
7100,1,3023,4105,1,45900,42,5,1,Yes
2700,1,2048,1195,1,26500,40,8,2,No
4700,1,1167,1060,1,18500,67,5,3,No
2200,1,660,1790,0,0,31,3,4,No
6800,1,1954,5116,1,14100,43,1,4,Yes
5700,1,1394,3563,1,28900,46,8,3,Yes
3100,1,360,2808,1,22500,53,5,3,No
2400,1,1061,5452,1,48300,36,2,3,Yes
5600,1,1669,4067,1,25700,42,3,2,Yes
3100,1,494,2668,1,31600,65,8,1,No
3500,1,1174,2551,1,33900,47,1,2,No
6900,1,459,2277,1,17000,42,8,5,No
2100,1,3108,5647,1,28000,35,1,1,Yes
3100,1,4058,3065,1,48100,63,1,2,Yes
3700,1,1814,3904,1,18300,60,1,3,No
7200,1,2780,2553,1,56800,23,8,4,Yes
4300,1,2523,1166,1,54400,27,1,1,Yes
4700,1,1856,1597,1,28900,32,5,4,No
2100,1,1570,1301,0,0,22,6,4,No
1600,1,485,1873,1,16100,36,4,2,No
5900,1,6515,7201,0,0,35,8,1,Yes
4500,1,1521,3120,1,21700,27,7,2,No
3700,1,1001,2323,1,33000,35,2,5,No
3100,1,798,2029,1,13300,37,8,5,No
2700,1,1331,2983,1,27400,54,8,2,No
5300,1,1641,2670,1,19600,27,1,4,No
3000,1,961,1368,1,35700,50,1,2,No
9800,1,2375,3908,1,46100,28,4,2,Yes
1000,1,881,817,1,35400,38,3,2,No
1600,1,1293,3906,1,16800,20,1,3,Yes
4100,1,1352,2905,1,27700,49,3,4,No
1100,1,1177,1968,1,24500,48,4,3,No
5300,1,242,205,1,26100,35,7,5,No
5900,1,5825,8878,1,31000,19,2,2,Yes
4200,1,4264,3586,1,26500,37,3,2,Yes
5100,1,455,3991,1,21200,38,3,4,Yes
900,1,1287,2428,1,26000,52,4,2,No
4400,1,2624,3548,1,29900,42,8,3,Yes
3600,1,378,2683,1,11000,53,4,4,No
5400,1,3278,474,1,23300,32,3,3,Yes
3300,1,975,1209,1,30600,51,8,1,No
6500,1,1718,7924,1,45800,36,3,3,Yes
2800,1,584,6338,1,28700,56,8,1,Yes
2200,1,1205,2932,1,59900,50,8,3,Yes
2500,1,805,1682,1,13200,72,5,3,No
4500,1,4157,2285,1,57200,49,8,5,Yes
4700,1,321,395,1,32600,67,4,5,No
4900,1,453,1332,0,0,31,2,2,No
4900,1,2613,3567,1,60200,55,8,4,Yes
6900,1,1309,2430,1,13200,39,4,2,No
3200,1,893,1252,1,18000,33,0,5,No
2300,1,935,5856,1,27200,42,2,4,Yes
4100,1,1381,1257,1,20100,36,7,3,Yes
2900,1,1973,1995,0,0,26,5,4,No
5800,1,2951,1468,1,65300,44,1,1,Yes
5200,1,2636,1217,1,36500,21,1,3,Yes
1500,1,1153,1509,1,33300,18,8,4,No
4000,1,543,903,1,51500,37,8,5,No
3100,1,396,927,0,0,39,8,2,No
2100,1,473,1067,1,21100,58,7,5,No
5500,1,2411,3280,1,37600,26,1,3,Yes
5400,1,474,1975,1,12500,33,8,5,No
5000,1,3098,4593,1,44000,38,2,5,Yes
6700,1,4647,2129,1,33600,53,4,4,Yes
2900,1,1115,2986,1,37300,49,1,2,No
5600,1,4439,6997,1,47300,43,7,1,Yes
3700,1,1739,2076,0,0,79,5,3,No
2300,1,1361,24,1,17700,26,8,1,No
2500,1,786,2832,0,0,40,7,4,No
4600,1,563,2399,1,22500,57,5,2,No
6700,1,4619,3005,1,41900,41,5,2,Yes
2400,1,1539,2076,1,6400,44,2,3,No
3800,1,4879,7609,1,47800,32,2,3,Yes
5500,1,5660,3520,1,37800,40,3,3,Yes
4500,1,703,3114,1,40800,19,0,4,No
4400,1,961,1538,1,34300,21,3,3,No
1100,1,320,1794,1,28300,61,4,3,No
6100,1,6074,2299,1,20900,19,1,1,Yes
3900,1,1218,1744,1,50800,49,4,5,Yes
6200,1,895,1280,0,0,23,2,2,No
4100,1,1578,2316,1,2800,29,2,5,Yes
4600,1,1349,1452,0,0,21,8,3,No
3800,1,948,1877,0,0,58,7,2,No
3100,1,2216,7411,1,28600,30,1,3,Yes
1700,1,990,3853,1,28300,41,1,1,No
2400,1,2471,1026,1,15100,39,1,3,Yes
3600,1,927,3887,1,31000,48,2,5,No
3600,1,1094,967,1,13600,31,5,4,No
1500,1,1104,2936,1,17000,34,2,1,No
3500,1,1022,3575,1,37200,63,4,5,No
4100,1,1052,2593,1,33500,48,8,1,No
4300,1,1095,2990,1,32200,38,8,1,No
2800,1,814,2761,1,16700,62,8,4,No
3900,1,3223,2469,1,22700,41,1,1,Yes
4900,1,30,3574,1,61600,32,8,3,Yes
6900,1,942,2948,1,29900,48,1,5,No
2900,1,712,1048,1,20300,41,4,1,No
1300,1,1347,1582,1,30700,50,4,2,No
4600,1,1463,1862,1,38300,31,3,3,No
2900,1,161,3077,1,31000,34,6,3,No
6600,1,2429,2837,1,48200,33,5,1,Yes
3500,1,6589,3845,0,0,27,1,1,Yes
6400,1,151,1102,1,34300,51,8,4,No
6400,1,4764,8182,1,43000,21,3,3,Yes
6300,1,1673,960,1,30500,48,7,2,No
5100,1,1394,2941,1,25700,24,2,4,No
2700,1,2047,3832,1,22700,36,2,2,No
5300,1,825,231,1,11100,31,5,4,No
1700,1,314,1683,1,18100,49,6,5,No
4400,1,1504,1480,1,32600,49,3,5,No
1000,1,3571,3037,1,18600,39,2,2,Yes
3500,1,4438,4159,1,26200,41,8,1,Yes
3200,1,771,2328,1,29200,33,8,3,No
6800,1,2796,7083,1,39200,38,2,1,Yes
4500,1,2889,3157,1,22100,27,3,1,Yes
6700,1,2953,5343,1,44300,49,0,2,Yes
3700,1,772,1331,1,24100,32,4,1,No
3600,1,1665,3970,1,33800,25,8,2,Yes
6800,1,2463,6948,1,42800,20,8,4,Yes
6000,1,464,4242,1,25100,46,8,1,Yes
2200,1,727,1763,1,16600,25,0,5,No
6600,1,2992,2290,1,36500,36,1,1,Yes
7200,1,1000,1081,1,3000,26,8,1,No
3000,1,1230,458,1,20800,46,2,4,No
5200,1,3736,1959,1,23400,50,1,4,Yes
3500,1,353,102,0,0,45,1,5,No
1000,1,1161,1617,1,20400,22,2,5,No
7100,1,797,6535,1,43300,30,1,3,Yes
3200,1,968,1128,1,51700,45,2,2,No
5100,1,1795,7210,1,12400,50,3,3,Yes
3300,1,769,1555,1,25900,39,3,3,No
5500,1,1454,1293,1,24100,53,4,3,No
3300,1,810,1948,1,19800,45,8,3,No
700,1,545,995,1,23500,47,8,4,No
4000,1,1843,3322,1,41900,29,4,4,Yes
6300,1,2637,4341,1,48900,51,2,1,Yes
6600,1,7313,2458,1,33900,21,3,5,Yes
6800,1,868,1360,1,22300,18,8,3,No
5800,1,641,2648,1,7100,36,0,3,No
3200,1,1260,3174,1,34700,49,4,2,No
3900,1,1188,2093,0,0,25,8,5,No
8000,1,2966,5187,1,38600,34,1,1,Yes
8300,1,1948,6730,1,34800,48,6,4,Yes
3100,1,219,2649,1,22500,23,3,2,No
2400,1,724,599,1,35500,46,7,3,Yes
7500,1,1203,7619,1,31900,38,8,1,Yes
2700,1,914,4210,1,27300,36,1,3,No
4200,1,3195,5558,1,31600,54,1,3,Yes
3000,1,2829,7008,1,15300,33,8,4,Yes
4700,1,4589,5885,1,33700,39,2,5,Yes
4700,1,1291,2063,0,0,32,8,5,No
3600,1,4482,5686,1,35700,60,1,1,Yes
3900,1,1690,3650,1,34900,28,8,5,No
1600,1,4348,2313,1,44300,53,8,5,Yes
6900,1,965,3096,1,44800,42,5,5,Yes
4100,1,1231,1357,0,0,41,3,5,No
5400,1,1932,2945,1,20600,37,3,5,No
5500,1,1551,7781,1,22400,19,1,4,Yes
7400,1,2161,5053,1,10400,29,1,1,Yes
2400,1,3209,3032,1,41600,39,8,4,Yes
7200,1,1163,878,1,39200,35,0,4,No
4700,1,1442,1991,1,5800,29,4,4,Yes
6600,1,4244,3219,1,53100,50,2,3,Yes
2200,1,3398,6044,1,60500,59,1,4,Yes
3800,1,1025,1585,1,21900,31,8,4,No
2800,1,392,2917,1,27100,35,2,4,No
800,1,1899,2299,1,17500,29,5,2,No
3200,1,2597,6345,1,66600,27,1,2,Yes
3300,1,439,1594,1,21600,25,6,3,No
4300,1,798,3074,1,7400,37,6,1,No
3500,1,913,2673,1,29000,53,6,5,No
4100,1,358,1984,1,4100,28,4,2,No
1600,1,1493,1172,1,45400,41,4,2,No
3600,1,1011,1557,1,17100,21,8,2,No
6600,1,5267,5265,0,0,48,0,3,Yes
3200,1,1389,2047,1,37700,43,4,1,No
2500,1,1916,5195,1,21700,31,1,3,Yes
4200,1,3073,126,1,41800,42,1,5,Yes
3100,1,3654,1823,1,50800,67,8,4,Yes
3900,1,1083,3668,1,26500,36,3,1,Yes
4800,1,511,2041,1,35200,35,2,5,No
4000,1,1921,5735,1,5300,35,1,3,Yes
5900,1,3446,3880,1,40000,35,5,1,Yes
8400,1,1597,3116,1,37800,27,2,2,Yes
4000,1,3835,5305,1,51500,55,3,1,Yes
